depArr,distance,distance_long,operation_mode,angle_sum,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,isRain,isSnow,flightNumber,airline,aircraftModel,AvgSpdLast10,TaxiTime
0,2815.376892,1417.437268,1,873.74,4,0,0,0,30.15,6000,0,0,TK1994,THY,A321,238.7762442,17.2
0,1612.045476,1169.957521,1,494.78,2,0,0,0,30.15,6000,0,0,SN2174,BEL,A319,268.1508889,13.88333333
1,1311.209416,0,1,514.56,0,0,0,0,30.18,9000,1,0,PK721,PIA,B77L,330.5569957,3.966666667
1,2079.607054,0,1,664.49,0,0,0,0,30.12,10000,0,0,A3638,AEE,A320,331.2628035,9.266666667
0,1129.20502,822.8717969,1,551.01,1,0,0,0,30.15,6000,0,0,KL1082,KLM,B738,273.9263715,11.95
1,1827.255056,1595.837077,1,370.77,0,0,0,0,30.15,8000,0,0,null,AAL,A332,330.7112627,9.133333333
1,1906.68578,0,1,455.44,0,0,0,1,30.15,8000,0,0,MT4506,TCX,A332,317.6620053,6.866666667
1,1701.182328,655.0851383,1,386.24,0,0,0,0,30.15,6000,1,0,FI440,ICE,B752,320.6489067,4.25
0,2081.118511,1417.437268,1,494.85,4,0,0,0,30.15,6000,0,0,U21949,EZY,A320,228.9040107,13.68333333
0,2567.120775,977.4076594,1,688.53,0,0,0,0,30.15,8000,0,0,LH2501,DLH,A320,299.7405456,35.45
1,1243.548854,0,1,291.34,0,0,0,0,30.15,10000,0,0,EY8015,ETD,B789,330.5569957,3.683333333
0,3389.445269,2391.310179,1,784.66,4,0,0,0,30.15,6000,0,0,SV124,SVA,B789,207.9672237,22.46666667
0,1025.04476,756.3860818,1,550.9,5,1,0,0,30.15,6000,0,0,FR4094,RYR,B738,218.9860666,9.616666667
0,2206.713528,1417.437268,1,716.55,4,1,0,0,30.15,6000,0,0,null,null,CL35,229.3621217,12.46666667
0,918.8539123,623.3581564,1,500.51,3,0,0,0,30.15,6000,0,0,FR34,RYR,B738,239.8215069,10.93333333
0,2812.914269,1417.437268,1,890.66,3,0,0,0,30.15,10000,0,0,BY122,TOM,B788,203.5524045,22.11666667
0,2593.350499,1417.437268,1,694.68,2,0,0,0,30.15,10000,0,0,MT2854,TCX,A332,197.3729973,14.96666667
0,1965.554417,1417.437268,1,494.33,2,0,0,0,30.15,10000,0,0,EI205,EIN,A320,204.6595598,20.06666667
0,2069.436571,1417.437268,1,548.97,2,0,0,0,30.15,10000,0,0,VS75,VIR,B744,202.8433095,17.3
0,2797.773632,1417.437268,1,891.51,2,0,0,0,30.15,10000,0,0,CX358,CPA,B77W,199.5962219,21.75
